,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
rangecycleduration,0.23791678901282318,-0.05713468599298282,-0.2487202072290406,0.14433167472306682,-0.018728594890350257,0.0324409440799545,0.31371536042980985,-0.2963136928787609,0.505867842277215,-0.6106426901364994,0.055922297549795816,-0.06476741710937603,0.11724802431727954,0.11950563614535688,-0.014408834273618613,0.04854227407701819,-0.05453658544001046,0.001504472978214591,-0.011721941685959095,0.00029675252811156523
amplitudedecay,0.1049637641114332,-0.008699594641715366,0.48516967975730874,0.48921228042926873,-0.18757891372159702,-0.003056847985485337,0.15171473422313558,0.0014976935628861839,-0.030293026906862138,-0.02878555877384386,0.1312522998576547,0.21503925319524722,-0.5234892481966251,0.33704833880129226,-0.04578446829015453,-0.00891061661900537,0.01628816484266654,-0.021938222021570933,-0.013089783241464148,0.004733689596157071
velocitydecay,0.10674393872953238,-0.011087054978351288,0.489420002044269,0.47623810340821254,0.18679099470018506,0.1440391392318266,0.02920127637859072,0.0047839066047036995,-0.0619788019939199,-0.033237911392414034,-0.09208345589258081,-0.14439512470330218,0.5547530030413544,-0.3472504479814011,0.03666079611206029,0.016142932811224208,-0.023117590955395877,0.02147947953311191,0.01629488785108539,-0.012619562712963054
ratedecay,0.07803112527695853,-0.0178388963001703,-0.031176104364479016,-0.0640329789253444,0.8648559683136052,0.3608577956246308,0.1359508495882451,-0.08888343675854474,-0.04204689641640188,0.08510847134729851,0.051559047059379776,0.11418100730994364,-0.18827258414859246,0.1532297159032719,-0.0047402282307015325,-0.010946181325324345,0.012164506797282716,-0.0010970118710117195,-0.004363203213270093,0.0004518645464261849
cvamplitude,0.3417998649120022,0.06229640495294528,0.10759565054961061,-0.17482205612610385,-0.04913818902331962,-0.07207522132408921,0.21289055402795104,-0.08430580626043951,0.19737164246269012,0.23091429076170497,0.04093997036501427,0.02981291647888034,-0.18495244532031088,-0.3454706309173992,0.339143973881933,0.1752653644949314,0.3165281960963367,0.5277027971283964,-0.04429086967028695,-0.0485318835737343
cvcycleduration,0.2948423736379955,0.04310750390890354,-0.2524949444934111,0.054555531833326745,-0.09162142163180949,0.006851350994793578,0.38494532827659633,0.014771230843076447,-0.48440227229809246,-0.004238412122399449,-0.04603084409232219,0.14974590268430932,-0.05145509353296811,-0.2586004497244751,-0.22167917012266564,0.48431255822966046,-0.15023385353553864,-0.22467270544246734,-0.035246477435710834,0.030307046103819377
rate,-0.04713466617487094,0.22508947473507765,0.39287454759239737,-0.4532735119143237,-0.03407248505819515,-0.10560503674863597,0.3562591457755163,-0.05028494939665618,-0.15126645185186946,-0.05073564640918724,0.017938616995380904,-0.04442308619434482,0.3219604323120307,0.4717248010145602,0.21964950512356568,0.1785235528621455,-0.09363091164283484,-0.04195837068311361,-0.028285233258990492,-0.01287334883811645
meanspeed,-0.2615056821640602,0.32116117429453567,-0.019459384129239102,0.055580531336459404,0.006372687149993906,0.008571650617200855,0.24378043420438894,-0.05628319099691993,-0.008271371559777585,-0.004235187929010497,-0.009892091276946971,-0.13804036379856616,-0.08320187987227838,-0.13231441932371535,-0.07071676236902533,-0.1618658385099667,0.030709971232828075,0.09251108798427907,-0.11093676315374236,0.8158509959583085
stdspeed,0.18255998424285377,0.38871718127117744,-0.0008133123271371267,0.005735883180722852,0.037318966139267024,0.01921757829624775,-0.1910991460137018,0.09103804854003991,-0.08658049129803574,-0.09658272015507158,0.022634864309771886,-0.31171709460364605,-0.11703521781102247,0.07211787346291362,-0.2665540750668124,0.01000464746034989,-0.5298878166482219,0.5108906053249836,0.06280236954282238,-0.1366758250826904
cvspeed,0.34627892833870644,0.12180851233827747,0.05016506329115885,-0.06783520203936189,0.03417542843426412,0.0006643707331608091,-0.15582407864606065,0.08738840986387658,-0.08479108510871187,-0.16013705822995586,-0.030474261008942675,-0.43084309055688075,-0.2878139235372435,-0.13115195911525365,0.5072157597448305,-0.13233687549081222,-0.09767665943915145,-0.4636365534648531,0.030263577569881416,0.07367003458652466
